n_teams_interested,n_rumor_mentions,has_big_market_interest,first_rumor_doy,rumor_intensity,mlbam_id,contract_year
0,2,0,365,0,592518,2018
0,1,0,365,0,448602,2018
0,0,0,365,0,455117,2018
0,1,0,365,0,503556,2018
0,0,0,365,0,592863,2018
0,1,0,365,0,571431,2018
0,0,0,365,0,571602,2018
0,0,0,365,0,459964,2018
0,1,0,365,0,461314,2018
0,0,0,365,0,473724,2018
0,0,0,365,0,605474,2018
0,0,0,365,0,519333,2018
1,3,0,365,3,446308,2018
0,2,0,365,0,466320,2018
0,0,0,365,0,488726,2018
0,0,0,365,0,459431,2018
0,1,0,365,0,502273,2018
0,1,0,365,0,519058,2018
0,1,0,365,0,592609,2018
0,0,0,365,0,435522,2018
0,1,0,365,0,112906,2018
0,0,0,365,0,624419,2018
0,0,0,365,0,545338,2018
0,0,0,365,0,460026,2018
0,0,0,365,0,545337,2018
0,0,0,365,0,607297,2018
0,0,0,365,0,593525,2018
0,1,0,365,0,623182,2018
0,0,0,365,0,449181,2018
0,0,0,365,0,476883,2018
0,0,0,365,0,465753,2018
0,0,0,365,0,518902,2018
0,0,0,365,0,488721,2018
0,0,0,365,0,594838,2018
0,0,0,365,0,595943,2018
0,2,0,365,0,605512,2018
0,0,0,365,0,542364,2018
0,1,0,365,0,434658,2018
0,0,0,365,0,570717,2018
0,2,0,365,0,678495,2018
0,0,0,365,0,425784,2018
0,0,0,365,0,542963,2018
0,0,0,365,0,543257,2018
0,0,0,365,0,455139,2018
0,1,0,365,0,591720,2018
0,0,0,365,0,514913,2018
0,4,0,365,0,606956,2018
0,0,0,365,0,475247,2018
0,0,0,365,0,572365,2018
0,0,0,365,0,534606,2018
0,0,0,365,0,543432,2018
0,0,0,365,0,542642,2018
0,2,0,365,0,446481,2018
0,0,0,365,0,623180,2018
0,1,0,365,0,453203,2018
0,0,0,365,0,519390,2018
0,0,0,365,0,608061,2018
0,0,0,365,0,600301,2018
0,0,0,365,0,605253,2018
0,1,0,365,0,542921,2018
0,0,0,365,0,543148,2018
0,1,0,365,0,571830,2018
0,0,0,365,0,542513,2018
0,0,0,365,0,573113,2018
0,0,0,365,0,506997,2018
0,0,0,365,0,501983,2018
0,0,0,365,0,518595,2018
0,0,0,365,0,572204,2018
0,1,0,365,0,477054,2018
0,0,0,365,0,461858,2018
0,0,0,365,0,453064,2018
0,0,0,365,0,488912,2018
1,3,1,365,3,571841,2018
0,1,0,365,0,592122,2018
0,0,0,365,0,595963,2018
0,0,0,365,0,541600,2018
0,0,0,365,0,501647,2018
0,1,0,365,0,446868,2018
0,0,0,365,0,527038,2018
0,0,0,365,0,467092,2018
0,0,0,365,0,621500,2018
0,0,0,365,0,592144,2018
0,1,0,365,0,500208,2018
2,2,1,365,4,518735,2018
0,0,0,365,0,475174,2018
0,0,0,365,0,591712,2018
0,0,0,365,0,501659,2019
0,1,0,365,0,588751,2019
0,0,0,365,0,593700,2019
0,1,0,365,0,488671,2019
14,1,1,365,14,460086,2019
0,1,0,365,0,433217,2019
1,2,1,365,2,461865,2019
0,1,0,365,0,571685,2019
0,4,0,365,0,543685,2019
1,1,0,365,1,452678,2019
1,2,1,365,2,519222,2019
0,0,0,365,0,541645,2019
18,3,1,365,54,607333,2019
0,2,0,365,0,571740,2019
0,0,0,365,0,596119,2019
0,0,0,365,0,120719,2019
0,0,0,365,0,543543,2019
0,0,0,365,0,446386,2019
0,0,0,365,0,474319,2019
0,2,0,365,0,458731,2019
0,0,0,365,0,572821,2019
0,0,0,365,0,640459,2019
0,0,0,365,0,571788,2019
0,0,0,365,0,592407,2019
0,2,0,365,0,543068,2019
0,0,0,365,0,543376,2019
0,0,0,365,0,457727,2019
0,0,0,365,0,641319,2019
0,3,0,365,0,471865,2019
0,0,0,365,0,542208,2019
0,0,0,365,0,624636,2019
0,0,0,365,0,644433,2019
0,1,0,365,0,518586,2019
0,1,0,365,0,605508,2019
0,0,0,365,0,596144,2019
0,0,0,365,0,543302,2019
0,0,0,365,0,455104,2019
0,0,0,365,0,572008,2019
0,0,0,365,0,542194,2019
0,0,0,365,0,518568,2019
0,0,0,365,0,605125,2019
0,0,0,365,0,518577,2019
0,0,0,365,0,543377,2019
0,0,0,365,0,572816,2019
0,1,0,365,0,542436,2019
0,0,0,365,0,514917,2019
0,0,0,365,0,592647,2019
0,0,0,365,0,573131,2019
0,0,0,365,0,518618,2019
2,1,1,365,2,544369,2019
0,2,0,365,0,599096,2019
18,1,1,365,18,570267,2019
0,0,0,365,0,460077,2019
0,0,0,365,0,543482,2019
0,0,0,365,0,572863,2019
0,0,0,365,0,456488,2019
0,0,0,365,0,429665,2019
0,1,0,365,0,553869,2019
0,0,0,365,0,466988,2019
0,1,0,365,0,519299,2019
0,0,0,365,0,519346,2019
0,0,0,365,0,625510,2019
0,1,0,365,0,456124,2019
0,2,0,365,0,516472,2019
0,1,0,365,0,465041,2019
0,0,0,365,0,506747,2019
0,0,0,365,0,493596,2019
0,0,0,365,0,491676,2019
0,0,0,365,0,641741,2019
0,0,0,365,0,595885,2019
0,0,0,365,0,628338,2019
0,0,0,365,0,592656,2019
0,0,0,365,0,541650,2019
0,0,0,365,0,435062,2019
0,0,0,365,0,600858,2019
0,0,0,365,0,452254,2019
0,0,0,365,0,543776,2019
1,1,0,365,1,595375,2019
0,0,0,365,0,607054,2019
0,0,0,365,0,595373,2019
0,0,0,365,0,518653,2019
0,0,0,365,0,571875,2019
0,0,0,365,0,592620,2019
0,0,0,365,0,502481,2019
0,1,0,365,0,488771,2019
0,1,0,365,0,543401,2019
0,0,0,365,0,595144,2019
0,1,0,365,0,576397,2019
0,0,0,365,0,542908,2019
0,0,0,365,0,116265,2019
0,1,0,365,0,605412,2019
0,0,0,365,0,572073,2019
0,2,0,365,0,543308,2019
0,3,0,365,0,571974,2019
1,9,1,365,9,445055,2019
0,0,0,365,0,518960,2019
0,0,0,365,0,570731,2019
0,0,0,365,0,474568,2019
0,0,0,365,0,593528,2019
7,1,0,365,7,547989,2019
0,1,0,365,0,578428,2019
0,0,0,365,0,446653,2019
0,0,0,365,0,592530,2019
0,5,0,365,0,518626,2019
0,1,0,365,0,543281,2019
0,0,0,365,0,572033,2019
0,0,0,365,0,489365,2019
0,0,0,365,0,593993,2019
0,1,0,365,0,606299,2019
0,0,0,365,0,518542,2019
0,0,0,365,0,492802,2019
0,0,0,365,0,501571,2019
0,1,0,365,0,475253,2019
0,0,0,365,0,592230,2019
0,0,0,365,0,542979,2019
15,6,1,365,90,607345,2019
15,2,1,365,30,607680,2019
0,0,0,365,0,608700,2019
0,2,0,365,0,594777,2019
0,4,0,365,0,572669,2019
0,0,0,365,0,523253,2019
0,0,0,365,0,489149,2019
0,1,0,365,0,820123,2019
0,0,0,365,0,434682,2019
0,0,0,365,0,571912,2019
0,0,0,365,0,607776,2019
9,2,1,365,18,596748,2019
0,1,0,365,0,542303,2019
18,1,1,365,18,593523,2019
0,0,0,365,0,455117,2019
0,1,0,365,0,592863,2019
0,4,0,365,0,571431,2019
0,0,0,365,0,571602,2019
0,0,0,365,0,592274,2019
0,1,0,365,0,459964,2019
0,0,0,365,0,461314,2019
0,0,0,365,0,605474,2019
0,0,0,365,0,519333,2019
0,0,0,365,0,446308,2019
0,0,0,365,0,621559,2019
1,1,0,365,1,466320,2019
0,0,0,365,0,595222,2019
0,2,0,365,0,519058,2019
0,0,0,365,0,543484,2019
0,1,0,365,0,519048,2019
0,0,0,365,0,435522,2019
0,0,0,365,0,592206,2019
0,0,0,365,0,624419,2019
0,2,0,365,0,455976,2019
0,0,0,365,0,467055,2019
0,0,0,365,0,623182,2019
0,0,0,365,0,518902,2019
0,0,0,365,0,598284,2019
0,0,0,365,0,594838,2019
0,0,0,365,0,595943,2019
0,0,0,365,0,542364,2019
0,0,0,365,0,425784,2019
0,0,0,365,0,542963,2019
0,0,0,365,0,455139,2019
0,1,0,365,0,502570,2019
0,0,0,365,0,591720,2019
0,2,0,365,0,594011,2019
0,1,0,365,0,514913,2019
0,0,0,365,0,641477,2019
2,5,1,365,10,606956,2019
0,1,0,365,0,572365,2019
0,0,0,365,0,534606,2019
0,0,0,365,0,543432,2019
0,0,0,365,0,475582,2019
0,0,0,365,0,624507,2019
0,0,0,365,0,542642,2019
0,1,0,365,0,592387,2019
7,2,1,365,14,446481,2019
0,0,0,365,0,623180,2019
0,1,0,365,0,453203,2019
0,0,0,365,0,593647,2019
0,1,0,365,0,516770,2019
0,3,0,365,0,519390,2019
0,0,0,365,0,519306,2019
0,0,0,365,0,608061,2019
18,4,1,365,72,543089,2019
0,0,0,365,0,605253,2019
0,0,0,365,0,543148,2019
1,3,0,365,3,453943,2019
14,2,1,365,28,543768,2019
0,0,0,365,0,501983,2019
7,1,0,365,7,518595,2019
0,0,0,365,0,572204,2019
0,1,0,365,0,477054,2019
7,2,0,365,14,452095,2019
0,1,0,365,0,456078,2019
0,0,0,365,0,541600,2019
0,1,0,365,0,446868,2019
0,0,0,365,0,527038,2019
0,0,0,365,0,592680,2019
0,0,0,365,0,622168,2019
0,1,0,365,0,543228,2019
0,0,0,365,0,500208,2019
0,2,0,365,0,518735,2019
0,0,0,365,0,570560,2019
0,2,0,365,0,475174,2019
0,0,0,365,0,643335,2019
0,0,0,365,0,591712,2019
0,0,0,365,0,623214,2020
0,0,0,365,0,501659,2020
0,0,0,365,0,594807,2020
0,0,0,365,0,284566,2020
0,0,0,365,0,546991,2020
0,1,0,365,0,405395,2020
0,0,0,365,0,444876,2020
0,0,0,365,0,593700,2020
0,1,0,365,0,488671,2020
0,4,0,365,0,592743,2020
1,2,0,365,2,461865,2020
